,u,v,Distance_miles,TimeToCross_minutes,edge_id,lon_u,lat_u,isHighPriority_u,lon_v,lat_v,isHighPriority_v,heading_u,heading_v
6574,IA160854314,IA160877971,0.2413933949429137,0,6574,-93.731769,41.570876,0,-93.730528,41.570373,0,0.6239019765569171,0.6228876830270615
6575,IA160854314,IA160854351,2.814842156084516,3,6575,-93.731769,41.570876,0,-93.736914,41.559177,0,0.6239019765569171,0.6188134200164459
6576,IA160854351,IA160770346,2.522485928126989,3,6576,-93.736914,41.559177,0,-93.7517419,41.5592737,0,0.6188134200164459,0.6261578925880831
6577,IA160854351,IA160878002,3.596055017817437,4,6577,-93.736914,41.559177,0,-93.7224668,41.5699215,0,0.6188134200164459,0.6181331527016862
6578,IA160854351,IA160854390,4.691637494593062,5,6578,-93.736914,41.559177,0,-93.75118,41.542983,1,0.6188134200164459,0.616193519941273
6579,IA160854351,IA160854314,2.814842156084515,3,6579,-93.736914,41.559177,0,-93.731769,41.570876,0,0.6188134200164459,0.6239019765569171
6580,IA160854390,IA160770346,3.697256240476388,4,6580,-93.75118,41.542983,1,-93.7517419,41.5592737,0,0.616193519941273,0.6261578925880831
6581,IA160854390,IA160852391,2.393391033326307,2,6581,-93.75118,41.542983,1,-93.765039,41.541313,0,0.616193519941273,0.6215235623325375
6582,IA160854390,IA160854351,4.691637494593063,5,6582,-93.75118,41.542983,1,-93.736914,41.559177,0,0.616193519941273,0.6188134200164459
6583,IA160854487,IA159480330,6.574020225970304,7,6583,-93.786228,41.539852,0,-93.8224004,41.5345675,0,0.6294519030244867,0.6395374690853161
6584,IA160854487,IA550403732,0.6473608853702747,0,6584,-93.786228,41.539852,0,-93.7827384,41.5409357,0,0.6294519030244867,0.6286754116051647
6585,IA160854487,IA159483429,1.3047129184479198,1,6585,-93.786228,41.539852,0,-93.7934134,41.5416882,0,0.6294519030244867,0.6332144529360144
6586,IA160854550,IA160927702,1.7786300508329156,2,6586,-93.6202813,41.5888273,0,-93.6101925,41.5909074,1,0.5462106904964515,0.535197064810125
6587,IA160854550,IA160822328,0.2126177519705542,0,6587,-93.6202813,41.5888273,0,-93.621486,41.5885752,0,0.5462106904964515,0.5474652813217714
6588,IA160854550,IA160803445,0.3757736045460687,0,6588,-93.6202813,41.5888273,0,-93.6202777,41.5904865,0,0.5462106904964515,0.5469744447297391
6589,IA160854557,IA160930787,0.2192041866385899,0,6589,-93.6240664,41.5880318,0,-93.623732,41.587097,1,0.5501087062473949,0.5492890101720485
6590,IA160854557,IA160822328,0.4556219914931033,0,6590,-93.6240664,41.5880318,0,-93.621486,41.5885752,0,0.5501087062473949,0.5474652813217714
6591,IA160854557,IA390953069,0.566628854111894,0,6591,-93.6240664,41.5880318,0,-93.6244422,41.5905105,1,0.5501087062473949,0.5517667543774939
6592,IA160854557,IA160829226,0.2197332281699145,0,6592,-93.6240664,41.5880318,0,-93.6253098,41.587767,1,0.5501087062473949,0.551360531635372
6593,IA160854562,IA160914868,0.2173396501686768,0,6593,-93.6265292,41.58751,1,-93.6261995,41.5865827,0,0.552576628380637,0.5517549822752437
6594,IA160854562,IA160854564,0.2185307058350209,0,6594,-93.6265292,41.58751,1,-93.6277661,41.5872474,0,0.552576628380637,0.5537962407241218
6595,IA160854564,IA160854566,0.2160617188335528,0,6595,-93.6277661,41.5872474,0,-93.6289897,41.5869896,0,0.5537962407241218,0.5549909552921873
6596,IA160854564,IA160816154,0.1613883989319203,0,6596,-93.6277661,41.5872474,0,-93.6280158,41.587935,0,0.5537962407241218,0.554423172042557
6597,IA160854566,IA160854568,0.217139543669727,0,6597,-93.6289897,41.5869896,0,-93.6302155,41.5867204,0,0.5549909552921873,0.5561693804077764
6598,IA160854566,IA160922294,0.2218140857480116,0,6598,-93.6289897,41.5869896,0,-93.6286381,41.5860463,0,0.5549909552921873,0.5541279436142803
6599,IA160854568,IA160816160,0.161867698699012,0,6599,-93.6302155,41.5867204,0,-93.6304719,41.5874088,0,0.5561693804077764,0.5568105136280176
6600,IA160854568,IA160930793,0.2171141426626837,0,6600,-93.6302155,41.5867204,0,-93.6298732,41.5857967,0,0.5561693804077764,0.555322077325996
6601,IA160854568,IA160854577,0.4335270267585654,0,6601,-93.6302155,41.5867204,0,-93.6326691,41.5861991,0,0.5561693804077764,0.5584993521053185
6602,IA160854577,IA160930805,0.2170534582747462,0,6602,-93.6326691,41.5861991,0,-93.6323302,41.585275,0,0.5584993521053185,0.5576474186262216
6603,IA160854577,IA160854594,0.7730254133517775,0,6603,-93.6326691,41.5861991,0,-93.6370417,41.5852632,0,0.5584993521053185,0.5625241843285459
6604,IA160854577,IA160816102,0.2301627791333898,0,6604,-93.6326691,41.5861991,0,-93.6330566,41.5871727,0,0.5584993521053185,0.5594427916078618
6605,IA160854594,IA160782687,0.2132898169720811,0,6605,-93.6370417,41.5852632,0,-93.6371134,41.5861993,0,0.5625241843285459,0.5631323407933726
6606,IA160854594,IA160930822,0.2168985762826856,0,6606,-93.6370417,41.5852632,0,-93.6367025,41.5843399,0,0.5625241843285459,0.5616602823273965
6607,IA160854594,IA160854600,0.4326368745827799,0,6607,-93.6370417,41.5852632,0,-93.639486,41.5847319,0,0.5625241843285459,0.5647015156994003
6608,IA160854600,IA160930824,0.2142836221345704,0,6608,-93.639486,41.5847319,0,-93.6391385,41.5838223,0,0.5647015156994003,0.5638315349806137
