,Node,longitude,latitude,isHighPriority
113,IA12079687015,-92.8315377,40.8924106,False
114,IA12079687018,-92.8310645,40.8921245,False
115,IA160020156,-92.7953523,41.692763,False
116,IA160033669,-92.7953246,41.692333,False
117,IA160050988,-92.902904,41.681051,False
118,IA160081820,-92.9029427,41.674163,False
119,IA160082407,-92.9027751,41.616168,False
120,IA160082492,-92.8437408,41.616097,False
121,IA160082694,-92.9027734,41.616213,False
122,IA160083157,-92.7760678,41.537759,False
123,IA160083176,-92.7761823,41.5449359,False
124,IA160083379,-92.7907563,41.623193,False
125,IA160083534,-92.7951738,41.688079,False
126,IA160087530,-92.8001442,41.536799,False
127,IA160087784,-92.871565,41.537504,False
128,IA160087936,-92.8330041,41.5383951,False
129,IA160104546,-92.890937,41.581031,False
130,IA160110040,-92.8343595,41.5810851,False
131,IA160123342,-92.948904,41.57351,False
132,IA160123609,-92.8718236,41.5809378,False
133,IA160123669,-92.9004764,41.579922,False
134,IA160129392,-92.7827319,41.57754,False
135,IA160131708,-92.9489028,41.559009,False
136,IA160135058,-92.9029153,41.659671,False
137,IA160145230,-92.9203582,41.5425324,False
138,IA160409416,-92.6592231,41.2952939,True
139,IA160409418,-92.6592177,41.2962038,False
140,IA160409426,-92.6592145,41.2993493,False
141,IA160410732,-92.8109437,41.4937304,False
142,IA160412010,-92.600133,41.2491828,False
143,IA160412015,-92.600766,41.2494429,False
144,IA160412602,-92.6601212,41.3053023,False
145,IA160412845,-92.6735428,41.2961787,True
146,IA160413692,-92.603108,41.310663,False
147,IA160414114,-92.6318709,41.3034072,False
148,IA160415411,-92.5752103,41.4697597,False
149,IA160415414,-92.576472,41.470279,False
150,IA160415952,-92.4746166,41.4809167,False
151,IA160418373,-92.4772288,41.2569293,False
152,IA160418440,-92.467703,41.172152,False
153,IA160418443,-92.4677,41.172669,False
154,IA160418453,-92.468106,41.212463,False
155,IA160418497,-92.463845,41.3147122,False
156,IA160418545,-92.6451228,41.3007588,False
157,IA160418592,-92.6270005,41.2871512,False
158,IA160418603,-92.6319138,41.2889696,False
159,IA160418610,-92.636791,41.2889582,False
160,IA160418773,-92.468284,41.172544,False
161,IA160418804,-92.6451081,41.2953139,False
162,IA160418806,-92.6451258,41.2962328,False
163,IA160418848,-92.6457312,41.3124858,False
164,IA160418918,-92.6515113,41.4696892,False
165,IA160418942,-92.6600256,41.292501,False
166,IA160419172,-92.6455972,41.2815937,False
167,IA160419180,-92.6456557,41.2852629,False
168,IA160419191,-92.6453331,41.286528,False
169,IA160419204,-92.645091,41.2898437,True
170,IA160419206,-92.6450913,41.2899496,False
171,IA160419213,-92.6450996,41.2926117,False
172,IA160419334,-92.7848019,41.3636978,False
173,IA160419616,-92.4502056,41.4083657,False
174,IA160419800,-92.7944781,41.3353292,False
175,IA160419920,-92.6225245,41.3356445,False
176,IA160419928,-92.6487759,41.3355727,False
177,IA160420048,-92.6498322,41.2953077,False
178,IA160420051,-92.6498373,41.2962148,False
179,IA160420057,-92.6498538,41.2993503,False
180,IA160420061,-92.6498464,41.3007405,False
181,IA160420342,-92.5788313,41.2493099,False
182,IA160420351,-92.6004771,41.2490614,False
183,IA160420917,-92.6556897,41.2953089,False
184,IA160421944,-92.6234881,41.292705,True
185,IA160421957,-92.6319214,41.2926734,False
186,IA160421967,-92.636821,41.2926358,False
187,IA160421981,-92.6426681,41.2926178,False
188,IA160422083,-92.6782347,41.2961655,False
189,IA160422094,-92.6696796,41.2961274,False
190,IA160422109,-92.6031154,41.296159,False
191,IA160422202,-92.4733092,41.3224696,False
192,IA160422367,-92.7939847,41.2967212,False
193,IA160422450,-92.66517,41.2961613,False
194,IA160422468,-92.6426863,41.29533,False
195,IA160422472,-92.6415328,41.295339,False
196,IA160422479,-92.6368327,41.2953599,False
197,IA160422750,-92.6030195,41.2653521,True
198,IA160422766,-92.583049,41.2120637,False
199,IA160422809,-92.5829566,41.2048527,False
200,IA160422813,-92.5830263,41.211663,False
201,IA160423030,-92.6600649,41.310688,False
202,IA160423139,-92.6298446,41.2672116,False
203,IA160423190,-92.450548,41.509437,False
204,IA160423763,-92.6367956,41.2899837,False
205,IA160423774,-92.642653,41.2899626,False
206,IA160424255,-92.7379936,41.4658043,False
207,IA160424317,-92.7999526,41.4511062,False
208,IA160424348,-92.870947,41.4075718,False
209,IA160424932,-92.6545043,41.2925833,False
210,IA160424945,-92.6663609,41.292511,False
211,IA160425069,-92.6368325,41.2962693,False
212,IA160425413,-92.4697834,41.5081635,False
213,IA160425521,-92.784737,41.336951,True
214,IA160425593,-92.6545238,41.2953084,False
215,IA160425801,-92.6559712,41.4008691,False
216,IA160425960,-92.6545319,41.2852688,False
217,IA160425972,-92.654514,41.2898028,False
218,IA160426644,-92.4824596,41.2124277,False
219,IA160426678,-92.5234973,41.2126013,False
220,IA160426693,-92.5258899,41.2140338,False
221,IA160426740,-92.6214686,41.2785943,False
222,IA160426760,-92.623839,41.2854801,False
223,IA160426763,-92.6237471,41.2871731,False
224,IA160426774,-92.6232802,41.2962134,False
225,IA160427420,-92.5258899,41.2122582,False
226,IA160427434,-92.5824375,41.2120817,False
227,IA160427855,-92.6497792,41.2852723,False
228,IA160427864,-92.649788,41.2898152,False
